Time,Temperature,Light
745,25,1008
746,25,1008
747,25,1008
748,25,1008
749,25,1008
750,25,1008
751,25,1008
752,25,1008
753,25,1008
754,25,1007
755,25,1007
756,25,997
757,25,981
758,25,961
759,24,954
760,25,947
761,25,937
762,24,940
763,25,929
764,24,918
765,25,914
766,25,918
767,25,911
768,25,880
769,25,842
770,25,806
771,25,774
772,25,750
773,25,745
774,25,738
775,25,733
776,25,754
777,25,731
778,25,645
779,25,684
780,25,733
781,25,783
782,25,787
783,25,783
784,25,776
785,24,757
786,25,742
787,24,735
788,25,714
789,24,686
790,24,690
791,25,703
792,25,703
793,25,706
794,25,706
795,25,707
796,25,710
797,25,711
798,25,707
799,25,708
800,25,707
801,25,704
802,25,702
803,25,701
804,25,700
805,25,697
806,25,693
807,25,694
808,25,695
809,25,694
810,24,694
811,25,691
812,25,689
813,25,652
814,24,623
815,24,889
816,25,968
817,24,985
818,25,1000
819,25,1005
820,25,1007
821,25,1007
822,25,1008
823,25,1008
824,25,1008
825,25,1008
826,25,1008
827,25,1008
828,25,1008
829,25,1008
830,25,1008
831,25,1008
832,25,1008
833,25,1008
834,25,1008
835,25,1008
836,25,1008
837,24,1008
838,25,1008
839,24,1008
840,24,1008
841,25,1008
842,24,1008
843,24,1008
844,24,1009
845,25,1008
846,25,1008
847,25,1008
848,25,1008
849,25,1008
850,25,1008
851,25,1008
852,25,1008
853,25,1008
854,25,1008
855,25,1009
856,25,1008
857,25,1008
858,25,1008
859,25,1009
860,25,1008
861,24,1008
862,24,1008
863,25,1008
864,24,1008
865,24,1008
866,24,1008
867,25,1008
868,24,1008
869,25,1008
870,24,1009
871,25,1008
872,25,1008
873,25,1008
874,25,1008
875,25,1008
876,25,1008
877,25,1009
878,25,1008
879,25,1008
880,25,1009
881,25,1008
882,25,1008
883,25,1009
884,25,1008
885,25,1008
886,24,1008
887,24,1008
888,24,1008
889,24,1008
890,24,1008
891,24,1008
892,24,1008
893,24,1008
894,24,1008
895,24,1008
896,24,1008
897,24,1008
898,24,1008
899,25,1008
900,24,1008
901,25,1008
902,24,1008
903,25,1008
904,24,1008
905,24,1008
906,25,1008
907,24,1008
908,24,1008
909,25,1008
910,25,1008
911,24,1008
912,24,1008
913,25,1008
914,24,1008
915,24,1008
916,24,1008
917,24,1008
918,24,1008
919,24,1008
920,24,1008
921,24,1008
922,24,1008
923,24,1008
924,24,1008
925,25,1008
926,24,1008
927,24,1008
928,25,1008
929,24,1008
930,24,1008
931,24,1008
932,24,1008
933,24,1008
934,24,1008
935,25,1008
936,25,1008
937,24,1008
938,24,1008
939,25,1008
940,24,1008
941,24,1008
942,24,1008
943,24,1008
944,24,1008
945,24,1008
946,24,1008
947,24,1008
948,24,1008
949,24,1008
950,24,1008
951,24,1008
952,24,1008
953,25,1008
954,25,1008
955,24,1008
956,24,1008
957,24,1008
958,24,1008
959,24,1008
960,24,1008
961,25,1009
962,24,1008
963,24,1008
964,24,1008
965,25,1008
966,24,1008
967,24,1008
968,24,1008
969,24,1008
970,24,1008
971,24,1008
972,24,1008
973,24,1008
974,24,1008
975,24,1008
976,24,1008
977,24,1008
978,24,1008
979,24,1008
980,24,1008
981,24,1008
982,24,1008
983,24,1008
984,24,1008
985,24,1008
986,24,1008
987,24,1008
988,24,1008
989,24,1008
990,24,1008
991,24,1008
992,24,1008
993,24,1008
994,24,1008
995,24,1009
996,25,1008
997,24,1008
998,24,1008
999,24,1008
1000,24,1008
